"name";"parent_area";"admin_title";"admin_level_id";"building_count";"population_total";"population_males";"population_females";"population_age_average_age";"population_age_males_0to9";"population_age_males_10to19";"population_age_males_20to29";"population_age_males_30to39";"population_age_males_40to49";"population_age_males_50to59";"population_age_males_60to69";"population_age_males_70to79";"population_age_males_over80";"population_age_females_0to9";"population_age_females_10to19";"population_age_females_20to29";"population_age_females_30to39";"population_age_females_40to49";"population_age_females_50to59";"population_age_females_60to69";"population_age_females_70to79";"population_age_females_over80";"race_white";"race_black";"race_indian";"race_asian";"race_hawaiian";"race_other";"race_two_or_more";"marital_never_married";"marital_now_married";"marital_separated";"marital_widowed";"marital_divorced";"unemployment_rate";"mean_annual_earnings_total";"mean_annual_earnings_male";"mean_annual_earnings_female";"nationality_us_citizen_born_in_us";"nationality_us_citizen_born_in_islands";"nationality_us_citizen_born_in_abroad";"nationality_us_citizen_naturalization";"nationality_not_us_citizen";"household_units";"household_1_person";"household_2_persons";"household_3_persons";"household_4_persons";"household_5_persons";"household_6_persons";"household_7_or_more_persons";"language_only_english";"language_spanish";"language_indoeuropean";"language_asian";"language_other";"crimes_1000capita_burglary";"crimes_1000capita_felonyassault";"crimes_1000capita_grandlarceny";"crimes_1000capita_grandlarcenyofmotorvehicle";"crimes_1000capita_murder";"crimes_1000capita_rape";"crimes_1000capita_robbery";"education_noschoolcompleted";"education_nurseryschool";"education_kindergarten";"education_1st_grade";"education_2nd_grade";"education_3rd_grade";"education_4th_grade";"education_5th_grade";"education_6th_grade";"education_7th_grade";"education_8th_grade";"education_9th_grade";"education_10th_grade";"education_11th_grade";"education_12th_grade_nodiploma";"education_highschool_diploma";"education_ged_or_alt_cred";"education_college_less1year";"education_college_no_degree";"education_associate_degree";"education_bachelor_degree";"education_master_degree";"education_professionalschool_degree";"education_doctorate_degree";"poverty_below_level";"poverty_below_level_percent";"houseage_1939_and_earlier";"houseage_1940_to_1949";"houseage_1950_to_1959";"houseage_1960_to_1969";"houseage_1970_to_1979";"houseage_1980_to_1989";"houseage_1990_to_1999";"houseage_2000_to_2009";"houseage_2010_and_later";"rent_no_cach_rent";"rent_grossusd_100_or_less";"rent_grossusd_100_to_149";"rent_grossusd_150_to_199";"rent_grossusd_200_to_249";"rent_grossusd_250_to_299";"rent_grossusd_300_to_349";"rent_grossusd_350_to_399";"rent_grossusd_400_to_449";"rent_grossusd_450_to_499";"rent_grossusd_500_to_549";"rent_grossusd_550_to_599";"rent_grossusd_600_to_649";"rent_grossusd_650_to_699";"rent_grossusd_700_to_749";"rent_grossusd_750_to_799";"rent_grossusd_800_to_899";"rent_grossusd_900_to_999";"rent_grossusd_1000_to_1249";"rent_grossusd_1259_to_1549";"rent_grossusd_1550_to_1999";"rent_grossusd_2000_or_more";"housingunitcost_10000_or_less";"housingunitcost_10000_to_14999";"housingunitcost_15000_to_19999";"housingunitcost_20000_to_24999";"housingunitcost_25000_to_29999";"housingunitcost_30000_to_34999";"housingunitcost_35000_to_39999";"housingunitcost_40000_to_49999";"housingunitcost_50000_to_59999";"housingunitcost_60000_to_69999";"housingunitcost_70000_to_79999";"housingunitcost_80000_to_89999";"housingunitcost_90000_to_99999";"housingunitcost_100000_to_124999";"housingunitcost_125000_to_149999";"housingunitcost_150000_to_174999";"housingunitcost_175000_to_199999";"housingunitcost_200000_to_249999";"housingunitcost_250000_to_299999";"housingunitcost_300000_to_399999";"housingunitcost_400000_to_499999";"housingunitcost_500000_to_749999";"housingunitcost_750000_to_999999";"housingunitcost_1000000_or_more";"househeating_utilitygas";"househeating_tankedlpgas";"househeating_electricity";"househeating_oilkerosene";"househeating_coalcoke";"househeating_wood";"househeating_solarenergy";"househeating_otherfuel";"househeating_nofuelused"
"10001";"Manhattan";"ZIP Codes";89;1520;"21102";"10184";"10918";"39";"576";"607";"2184";"2085";"1768";"1392";"844";"462";"266";"506";"1257";"3189";"1646";"1097";"1121";"997";"579";"526";"13722";"1897";"75";"3539";"5";"1063";"801";"11868";"4599";"422";"707";"1526";"9";"132012";"146560";"111839";"14591";"355";"381";"2412";"2840";"12476";"5895";"3444";"978";"485";"485";"485";"485";"66";"12";"10";"11";"1";"4.98";"2.51";"32.65";"0.9";"0";"0.09";"2.61";"181";"0";"0";"11";"57";"16";"77";"49";"66";"88";"115";"73";"82";"109";"312";"986";"405";"412";"1365";"628";"5415";"3300";"964";"493";"2672";"14";"4914";"750";"749";"2441";"165";"455";"356";"2320";"323";"46";"0";"0";"9";"264";"117";"84";"70";"147";"94";"66";"271";"98";"170";"252";"371";"225";"236";"405";"438";"1135";"3412";"24";"22";"29";"81";"39";"51";"92";"80";"95";"108";"25";"0";"0";"31";"0";"66";"10";"63";"16";"144";"68";"463";"315";"996";"3035";"40";"3740";"3394";"9";"10";"0";"199";"301"
"10002";"Manhattan";"ZIP Codes";99;2494;"81410";"38570";"42840";"41";"3729";"4017";"6647";"6150";"5339";"5117";"3422";"2602";"1547";"3554";"3741";"7160";"6059";"5511";"5775";"4583";"3436";"3021";"25506";"6836";"374";"37914";"32";"7997";"2751";"28640";"28091";"2149";"5443";"5692";"11";"58516";"64826";"51596";"40072";"4836";"445";"20365";"14605";"34541";"11697";"9679";"4698";"3341";"3341";"3341";"3341";"35";"20";"3";"41";"1";"0.63";"1.68";"4";"0.38";"0.01";"0.12";"1.2";"4253";"14";"150";"162";"533";"619";"799";"1271";"3520";"1168";"2975";"2165";"1738";"1256";"1940";"10476";"1681";"1388";"4780";"2325";"11969";"3733";"903";"626";"22136";"28";"14246";"3550";"5118";"4815";"3464";"1095";"1187";"1628";"37";"265";"35";"199";"574";"2135";"1163";"1367";"910";"835";"598";"673";"813";"1360";"988";"1120";"992";"2429";"1787";"3183";"1349";"2213";"2967";"27";"67";"13";"45";"0";"24";"11";"22";"18";"0";"8";"0";"0";"27";"0";"43";"0";"129";"172";"386";"888";"1255";"631";"517";"14058";"360";"7339";"8781";"0";"0";"22";"695";"983"
"10003";"Manhattan";"ZIP Codes";97;2607;"56024";"26750";"29274";"37";"1157";"2741";"7168";"5497";"3556";"2906";"2147";"1011";"567";"1150";"3978";"9036";"5063";"2640";"2806";"2401";"1279";"921";"42794";"1977";"101";"8088";"24";"1256";"1784";"34504";"13443";"583";"1565";"3675";"7";"125298";"143574";"104621";"44045";"505";"795";"4987";"6282";"31078";"16068";"8801";"2352";"1036";"1036";"1036";"1036";"77";"6";"8";"9";"1";"1.62";"0.79";"10.87";"0.39";"0";"0.09";"0.96";"338";"0";"0";"0";"33";"15";"19";"20";"95";"133";"163";"87";"281";"234";"305";"2845";"364";"831";"2872";"968";"17110";"8624";"3725";"1659";"6153";"13";"17338";"1458";"3177";"5137";"1691";"945";"692";"798";"80";"426";"0";"64";"80";"123";"99";"64";"157";"291";"206";"234";"251";"149";"171";"327";"416";"622";"502";"1356";"1682";"3875";"8122";"52";"15";"0";"14";"0";"0";"0";"24";"0";"0";"0";"0";"21";"11";"0";"28";"32";"59";"91";"392";"907";"2179";"1722";"2854";"10797";"465";"4658";"9329";"0";"0";"0";"786";"1583"
"10004";"Manhattan";"ZIP Codes";121;0;"0";"1610";"1479";"33";"168";"47";"435";"460";"243";"145";"80";"25";"7";"135";"66";"450";"416";"207";"121";"66";"12";"6";"0";"0";"0";"0";"0";"0";"0";"1349";"883";"16";"38";"169";"9";"172251";"191609";"136264";"2068";"17";"25";"368";"302";"2197";"803";"571";"188";"106";"106";"106";"106";"78";"5";"8";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"17";"115";"15";"33";"207";"80";"911";"552";"199";"19";"300";"11";"1439";"43";"23";"32";"61";"82";"26";"232";"0";"106";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"33";"885";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"16";"0";"0";"0";"0";"0";"13";"19";"28";"96";"113";"151";"232";"0";"894";"291";"0";"0";"10";"37";"5"
"10005";"Manhattan";"ZIP Codes";111;128;"7135";"3443";"3692";"30";"158";"53";"1494";"1109";"402";"162";"54";"8";"3";"177";"76";"1990";"944";"298";"135";"60";"5";"7";"5001";"242";"10";"1480";"2";"160";"240";"3675";"1504";"30";"2";"145";"6";"138443";"158558";"114688";"4039";"95";"7";"350";"1233";"5317";"2127";"1576";"387";"133";"133";"133";"133";"71";"5";"11";"12";"1";"0.42";"0.42";"6.17";"0.28";"0";"0";"0.56";"64";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"55";"36";"1";"32";"379";"43";"1940";"1134";"575";"141";"590";"10";"2106";"89";"279";"102";"182";"220";"368";"953";"0";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"53";"2701";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"0";"30";"8";"24";"91";"367";"616";"2";"2558";"84";"0";"7";"0";"34";"22"
"10006";"Manhattan";"ZIP Codes";109;104;"3011";"1519";"1492";"31";"53";"38";"646";"499";"162";"81";"32";"6";"2";"57";"31";"792";"409";"110";"65";"24";"3";"1";"2088";"137";"4";"591";"0";"97";"94";"1538";"787";"36";"0";"146";"10";"127425";"144453";"110045";"1857";"0";"49";"260";"530";"1991";"888";"672";"165";"51";"51";"51";"51";"69";"4";"6";"18";"2";"1.33";"0.66";"10.63";"0";"0";"0";"0.33";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"12";"120";"0";"54";"77";"132";"848";"534";"233";"130";"257";"10";"1246";"74";"164";"47";"181";"85";"100";"210";"0";"13";"0";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"18";"0";"14";"0";"38";"7";"80";"1290";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"91";"57";"38";"387";"0";"1065";"207";"0";"0";"0";"0";"0"
"10007";"Manhattan";"ZIP Codes";104;326;"6988";"3958";"3030";"33";"485";"135";"667";"1311";"795";"354";"149";"46";"16";"489";"138";"567";"981";"457";"241";"125";"21";"11";"5281";"471";"5";"878";"6";"90";"257";"2090";"2576";"124";"0";"448";"6";"287369";"322497";"228757";"4520";"15";"166";"422";"1065";"3143";"1052";"964";"414";"320";"320";"320";"320";"69";"8";"11";"10";"1";"1.57";"1.14";"13.88";"0.29";"0";"0";"1.43";"30";"0";"0";"0";"0";"20";"0";"14";"42";"14";"37";"47";"33";"47";"66";"138";"109";"120";"255";"87";"1691";"1008";"650";"346";"146";"3";"730";"58";"80";"204";"108";"332";"304";"1009";"0";"25";"0";"0";"0";"0";"0";"0";"0";"0";"36";"16";"0";"25";"11";"12";"0";"89";"34";"26";"0";"32";"1434";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"49";"10";"84";"88";"471";"751";"33";"1197";"351";"0";"0";"0";"63";"64"
"10009";"Manhattan";"ZIP Codes";101;1740;"61347";"28433";"32914";"39";"2036";"2294";"7346";"4963";"4006";"3568";"2261";"1267";"692";"1964";"2250";"9105";"4940";"3973";"4073";"3127";"1872";"1610";"38077";"6036";"304";"8377";"33";"5946";"2574";"32827";"14646";"1532";"3177";"4888";"8";"80456";"86698";"73272";"41991";"4189";"771";"7826";"7620";"31709";"12834";"9911";"4289";"2009";"2009";"2009";"2009";"61";"20";"8";"10";"1";"0.68";"1.16";"5.09";"0.34";"0.02";"0.18";"0.59";"1353";"0";"0";"10";"152";"420";"267";"328";"866";"408";"681";"820";"893";"905";"748";"5438";"1041";"1149";"3699";"1456";"16811";"6795";"2119";"1038";"12380";"20";"10935";"9147";"3462";"3023";"1408";"854";"969";"1625";"0";"183";"10";"108";"221";"1025";"600";"553";"352";"759";"307";"370";"748";"607";"422";"569";"658";"1096";"967";"2773";"2475";"5326";"7312";"151";"0";"14";"50";"11";"6";"0";"10";"71";"21";"0";"0";"0";"64";"0";"13";"0";"62";"76";"158";"73";"573";"340";"758";"12791";"176";"5110";"8886";"6";"0";"0";"1610";"1313"
"10010";"Manhattan";"ZIP Codes";94;855;"31834";"14755";"17079";"38";"838";"926";"3930";"3035";"1976";"1680";"1310";"652";"408";"848";"1149";"5653";"3010";"1603";"1500";"1613";"884";"819";"23493";"1877";"69";"4586";"15";"779";"1015";"16139";"8002";"148";"964";"1811";"8";"144912";"176736";"116224";"22235";"451";"430";"3153";"3127";"18030";"8814";"5320";"1525";"700";"700";"700";"700";"72";"8";"10";"8";"1";"1.76";"0.82";"8.39";"0.28";"0";"0";"0.88";"110";"0";"0";"0";"0";"34";"38";"0";"60";"34";"0";"85";"87";"103";"115";"1486";"157";"330";"1683";"850";"9155";"5089";"2489";"672";"3799";"14";"5236";"2660";"1248";"2703";"2972";"1405";"617";"1672";"0";"157";"0";"25";"46";"354";"146";"118";"58";"72";"50";"35";"158";"158";"151";"57";"105";"215";"201";"793";"868";"2047";"5931";"10";"19";"89";"2";"0";"0";"0";"0";"0";"0";"31";"0";"0";"0";"0";"42";"0";"51";"83";"223";"381";"1002";"769";"1371";"6378";"136";"4452";"3846";"47";"0";"0";"475";"484"
"10011";"Manhattan";"ZIP Codes";90;2694;"50984";"25998";"24986";"41";"1513";"1216";"3911";"5893";"5297";"3826";"2562";"1197";"583";"1464";"1544";"5583";"5219";"3326";"2927";"2595";"1322";"1006";"40922";"2348";"110";"4517";"24";"1496";"1567";"26649";"13574";"842";"1415";"4638";"7";"169141";"197768";"131422";"40321";"656";"716";"5014";"5146";"33252";"17717";"8948";"2062";"1132";"1132";"1132";"1132";"73";"10";"10";"6";"1";"1.61";"1.02";"9.73";"0.27";"0";"0.02";"1.16";"424";"38";"3";"9";"3";"34";"18";"46";"59";"193";"127";"283";"326";"201";"344";"2226";"462";"780";"3221";"1569";"17277";"9343";"4083";"2052";"4461";"9";"18922";"1568";"2301";"5044";"1169";"1406";"265";"2719";"59";"563";"14";"10";"86";"345";"122";"163";"271";"249";"134";"237";"323";"313";"412";"442";"378";"726";"589";"1432";"1339";"3302";"8157";"13";"0";"30";"12";"14";"26";"16";"95";"37";"35";"25";"14";"0";"8";"67";"42";"0";"76";"109";"451";"795";"2141";"1692";"4363";"10400";"682";"5523";"11577";"14";"0";"0";"773";"699"
