"name";"admin_title";"admin_level_id";"building_count";"population_total";"population_males";"population_females";"population_age_average_age";"population_age_males_0to9";"population_age_males_10to19";"population_age_males_20to29";"population_age_males_30to39";"population_age_males_40to49";"population_age_males_50to59";"population_age_males_60to69";"population_age_males_70to79";"population_age_males_over80";"population_age_females_0to9";"population_age_females_10to19";"population_age_females_20to29";"population_age_females_30to39";"population_age_females_40to49";"population_age_females_50to59";"population_age_females_60to69";"population_age_females_70to79";"population_age_females_over80";"race_white";"race_black";"race_indian";"race_asian";"race_hawaiian";"race_other";"race_two_or_more";"marital_never_married";"marital_now_married";"marital_separated";"marital_widowed";"marital_divorced";"unemployment_rate";"mean_annual_earnings_total";"mean_annual_earnings_male";"mean_annual_earnings_female";"nationality_us_citizen_born_in_us";"nationality_us_citizen_born_in_islands";"nationality_us_citizen_born_in_abroad";"nationality_us_citizen_naturalization";"nationality_not_us_citizen";"household_units";"household_1_person";"household_2_persons";"household_3_persons";"household_4_persons";"household_5_persons";"household_6_persons";"household_7_or_more_persons";"language_only_english";"language_spanish";"language_indoeuropean";"language_asian";"language_other";"crimes_1000capita_burglary";"crimes_1000capita_felonyassault";"crimes_1000capita_grandlarceny";"crimes_1000capita_grandlarcenyofmotorvehicle";"crimes_1000capita_murder";"crimes_1000capita_rape";"crimes_1000capita_robbery";"education_noschoolcompleted";"education_nurseryschool";"education_kindergarten";"education_1st_grade";"education_2nd_grade";"education_3rd_grade";"education_4th_grade";"education_5th_grade";"education_6th_grade";"education_7th_grade";"education_8th_grade";"education_9th_grade";"education_10th_grade";"education_11th_grade";"education_12th_grade_nodiploma";"education_highschool_diploma";"education_ged_or_alt_cred";"education_college_less1year";"education_college_no_degree";"education_associate_degree";"education_bachelor_degree";"education_master_degree";"education_professionalschool_degree";"education_doctorate_degree";"poverty_below_level";"poverty_below_level_percent";"houseage_1939_and_earlier";"houseage_1940_to_1949";"houseage_1950_to_1959";"houseage_1960_to_1969";"houseage_1970_to_1979";"houseage_1980_to_1989";"houseage_1990_to_1999";"houseage_2000_to_2009";"houseage_2010_and_later";"rent_no_cach_rent";"rent_grossusd_100_or_less";"rent_grossusd_100_to_149";"rent_grossusd_150_to_199";"rent_grossusd_200_to_249";"rent_grossusd_250_to_299";"rent_grossusd_300_to_349";"rent_grossusd_350_to_399";"rent_grossusd_400_to_449";"rent_grossusd_450_to_499";"rent_grossusd_500_to_549";"rent_grossusd_550_to_599";"rent_grossusd_600_to_649";"rent_grossusd_650_to_699";"rent_grossusd_700_to_749";"rent_grossusd_750_to_799";"rent_grossusd_800_to_899";"rent_grossusd_900_to_999";"rent_grossusd_1000_to_1249";"rent_grossusd_1259_to_1549";"rent_grossusd_1550_to_1999";"rent_grossusd_2000_or_more";"housingunitcost_10000_or_less";"housingunitcost_10000_to_14999";"housingunitcost_15000_to_19999";"housingunitcost_20000_to_24999";"housingunitcost_25000_to_29999";"housingunitcost_30000_to_34999";"housingunitcost_35000_to_39999";"housingunitcost_40000_to_49999";"housingunitcost_50000_to_59999";"housingunitcost_60000_to_69999";"housingunitcost_70000_to_79999";"housingunitcost_80000_to_89999";"housingunitcost_90000_to_99999";"housingunitcost_100000_to_124999";"housingunitcost_125000_to_149999";"housingunitcost_150000_to_174999";"housingunitcost_175000_to_199999";"housingunitcost_200000_to_249999";"housingunitcost_250000_to_299999";"housingunitcost_300000_to_399999";"housingunitcost_400000_to_499999";"housingunitcost_500000_to_749999";"housingunitcost_750000_to_999999";"housingunitcost_1000000_or_more";"househeating_utilitygas";"househeating_tankedlpgas";"househeating_electricity";"househeating_oilkerosene";"househeating_coalcoke";"househeating_wood";"househeating_solarenergy";"househeating_otherfuel";"househeating_nofuelused"
"11203";"ZIP Codes";133;12205;"76174";"33843";"42331";"39";"4360";"4946";"5175";"4229";"4519";"4450";"3427";"1985";"752";"4215";"4922";"5817";"5559";"5843";"6433";"4800";"3024";"1718";"2703";"69435";"221";"956";"27";"1219";"1613";"29601";"22810";"3189";"3892";"6098";"12";"46050";"48337";"44334";"37913";"665";"604";"26650";"14370";"28087";"6585";"7116";"5080";"3633";"3633";"3633";"3633";"80";"6";"11";"1";"2";"1.18";"2.64";"3.12";"0.8";"0.03";"0.21";"2.28";"1425";"0";"24";"9";"70";"114";"28";"261";"894";"415";"903";"801";"820";"1125";"1810";"15894";"2997";"2036";"8757";"4870";"7581";"2903";"486";"173";"11878";"15";"15450";"4943";"4326";"1971";"1047";"463";"540";"664";"0";"589";"24";"31";"43";"157";"116";"50";"110";"155";"72";"102";"173";"137";"163";"472";"453";"1463";"1816";"5306";"2513";"1841";"219";"36";"5";"0";"6";"29";"17";"30";"78";"57";"20";"8";"17";"13";"111";"24";"111";"82";"268";"369";"2918";"3921";"2690";"223";"105";"20853";"422";"739";"4959";"0";"18";"0";"47";"105"
"11204";"ZIP Codes";16;10398;"78134";"38514";"39620";"36";"6263";"5969";"5897";"5180";"4584";"4632";"2947";"1830";"1212";"5919";"5361";"5646";"5008";"4839";"4920";"3420";"2311";"2196";"51867";"598";"141";"20594";"39";"3650";"1245";"20292";"34544";"1029";"4266";"2858";"9";"47782";"49716";"44788";"41803";"574";"940";"20287";"16737";"28196";"5842";"6762";"4288";"3711";"3711";"3711";"3711";"27";"9";"31";"27";"6";"0.93";"0.4";"1.56";"0.24";"0";"0.01";"0.42";"1926";"26";"55";"42";"251";"324";"142";"858";"1416";"394";"1836";"1440";"1805";"876";"2410";"14241";"1333";"1465";"4872";"3274";"7322";"3548";"675";"333";"16596";"21";"17060";"2828";"2072";"1558";"1051";"720";"735";"629";"0";"500";"0";"31";"100";"205";"84";"160";"79";"144";"97";"159";"172";"306";"254";"212";"389";"932";"1377";"4756";"2802";"2139";"637";"8";"0";"9";"0";"0";"9";"0";"78";"39";"32";"100";"23";"14";"101";"37";"8";"63";"38";"157";"599";"931";"4388";"2205";"710";"19793";"608";"617";"3667";"44";"136";"0";"121";"98"
"11205";"ZIP Codes";117;3502;"40366";"18829";"21537";"31";"3489";"2642";"4002";"3661";"2025";"1380";"952";"480";"198";"3342";"2862";"4767";"3885";"2302";"1749";"1431";"733";"466";"18437";"13899";"238";"2050";"41";"4011";"1690";"16880";"10038";"1000";"1250";"1908";"11";"61300";"64168";"57545";"30741";"1154";"313";"3534";"4383";"16409";"4876";"4355";"2167";"1369";"1369";"1369";"1369";"60";"20";"16";"2";"2";"1.93";"1.86";"3.91";"0.99";"0.05";"0.02";"1.83";"406";"6";"9";"55";"20";"279";"53";"320";"380";"227";"493";"503";"516";"869";"684";"4315";"726";"818";"2846";"888";"4736";"3429";"926";"277";"13648";"36";"8787";"2453";"1202";"1571";"458";"270";"137";"1822";"36";"248";"37";"32";"195";"696";"437";"375";"244";"276";"236";"306";"210";"222";"100";"415";"280";"327";"514";"1082";"1193";"2097";"1640";"19";"11";"0";"8";"7";"0";"0";"0";"10";"50";"0";"20";"0";"79";"0";"50";"11";"31";"83";"585";"373";"675";"482";"741";"10094";"282";"1053";"2668";"32";"45";"0";"82";"141"
"11206";"ZIP Codes";108;5593;"81677";"38855";"42822";"32";"6797";"6593";"8723";"5908";"4013";"3144";"2016";"1207";"454";"6461";"6224";"8610";"5962";"5010";"4117";"3310";"2031";"1097";"34534";"23108";"736";"4522";"52";"15393";"3332";"31214";"19127";"2521";"3284";"4035";"14";"40411";"42390";"38262";"55017";"6180";"800";"7972";"10117";"29941";"7255";"7637";"4933";"3475";"3475";"3475";"3475";"41";"40";"13";"4";"1";"2.27";"2.24";"3.78";"0.89";"0.04";"0.2";"2.4";"1760";"25";"19";"179";"243";"588";"383";"808";"2143";"1077";"1758";"1949";"1842";"1895";"1447";"10222";"2025";"1416";"5665";"2321";"6061";"2017";"351";"87";"29047";"36";"9025";"2610";"4443";"5042";"2148";"887";"1838";"4749";"86";"292";"69";"123";"453";"2089";"740";"842";"842";"902";"594";"659";"726";"969";"854";"1143";"1208";"1422";"1337";"3432";"1652";"2825";"1795";"23";"45";"11";"14";"0";"5";"0";"11";"0";"8";"0";"0";"0";"26";"14";"71";"14";"62";"138";"253";"468";"1212";"401";"174";"18595";"437";"2579";"5154";"16";"0";"0";"456";"681"
"11210";"ZIP Codes";14;9754;"62008";"28616";"33392";"36";"4580";"4858";"4303";"3577";"3564";"3580";"2462";"1123";"569";"4367";"4874";"4649";"4539";"4425";"4568";"3185";"1643";"1142";"20648";"35821";"200";"2175";"28";"1749";"1387";"21332";"21378";"1679";"2579";"3692";"8";"55008";"60390";"48463";"37875";"415";"656";"15357";"9738";"22476";"5133";"5134";"3551";"2736";"2736";"2736";"2736";"68";"6";"20";"1";"4";"1.56";"1.21";"3.48";"0.44";"0";"0.15";"1.29";"373";"0";"20";"8";"25";"33";"55";"86";"459";"320";"460";"424";"593";"635";"929";"11335";"2040";"1911";"5018";"2733";"8245";"3619";"831";"422";"9634";"15";"11567";"3702";"4287";"2475";"413";"131";"193";"414";"45";"280";"0";"43";"0";"189";"78";"135";"50";"38";"32";"60";"77";"180";"177";"310";"213";"1035";"1722";"4018";"1907";"805";"224";"0";"30";"0";"0";"13";"0";"15";"33";"61";"52";"119";"50";"57";"134";"91";"381";"200";"447";"308";"1349";"1919";"3067";"1118";"673";"15600";"264";"817";"4742";"10";"65";"0";"92";"100"
"11212";"ZIP Codes";9;7081;"84500";"36528";"47972";"34";"6485";"7327";"5630";"4157";"4416";"3969";"2658";"1365";"521";"6200";"7206";"7155";"6640";"6961";"6161";"4097";"2310";"1242";"3822";"71964";"483";"606";"38";"5315";"2272";"34188";"15999";"3569";"4042";"4717";"14";"39335";"42552";"37230";"51685";"1682";"477";"14928";"12495";"31847";"8130";"7744";"6090";"4026";"4026";"4026";"4026";"82";"13";"4";"0";"1";"1.38";"4.41";"2.75";"0.56";"0.13";"0.12";"2.79";"796";"49";"15";"10";"125";"160";"122";"347";"905";"818";"974";"1264";"1501";"2698";"2588";"16265";"3013";"2364";"7008";"3405";"3817";"1111";"178";"62";"27429";"34";"12548";"2740";"4398";"5352";"3216";"3145";"873";"741";"58";"351";"51";"86";"667";"1717";"1023";"1017";"866";"912";"770";"874";"774";"548";"642";"841";"489";"1464";"1759";"5558";"2980";"1656";"197";"29";"0";"9";"48";"0";"9";"20";"8";"0";"21";"0";"0";"44";"31";"0";"32";"21";"242";"292";"1466";"1218";"1056";"20";"49";"23256";"286";"2377";"3308";"0";"4";"0";"324";"302"
"11213";"ZIP Codes";8;5507;"63767";"28822";"34945";"35";"4656";"4857";"5252";"3613";"3503";"3236";"2118";"1065";"522";"4477";"4851";"5652";"4688";"4888";"4380";"3021";"1760";"1228";"12493";"46454";"250";"554";"22";"2414";"1580";"22177";"15222";"2603";"3120";"4380";"10";"45613";"50424";"41528";"37250";"612";"1048";"11742";"10843";"24974";"7018";"5906";"4082";"2721";"2721";"2721";"2721";"74";"8";"11";"0";"6";"1.65";"3.37";"3.72";"0.89";"0.08";"0.06";"2.31";"751";"0";"34";"0";"42";"178";"143";"279";"881";"347";"786";"777";"818";"1650";"1319";"10012";"2141";"1672";"5701";"2740";"5010";"2171";"277";"195";"16958";"28";"15579";"2079";"2265";"1395";"1249";"716";"1107";"1214";"135";"458";"18";"127";"399";"628";"514";"325";"327";"370";"260";"355";"258";"476";"463";"472";"833";"1603";"1807";"4937";"2736";"1716";"399";"0";"0";"0";"8";"0";"0";"0";"26";"0";"20";"0";"26";"45";"93";"0";"24";"3";"94";"163";"232";"544";"1691";"701";"78";"18183";"167";"1161";"3442";"0";"12";"5";"179";"80"
"11215";"ZIP Codes";129;9948;"63488";"30083";"33405";"36";"3743";"2262";"5055";"7385";"4652";"3397";"2110";"996";"483";"3658";"2272";"6382";"7883";"4679";"3769";"2508";"1223";"1031";"48504";"3852";"234";"4040";"31";"4046";"2781";"25870";"24168";"853";"1890";"4008";"6";"93817";"102794";"83373";"52934";"1300";"1054";"6160";"5747";"30073";"8995";"10083";"4587";"3129";"3129";"3129";"3129";"74";"14";"7";"4";"1";"1.32";"0.47";"3.23";"0.58";"0";"0.03";"0.68";"503";"0";"4";"5";"104";"82";"112";"80";"330";"137";"533";"550";"601";"534";"632";"4114";"828";"771";"4021";"1435";"17164";"11600";"4127";"1540";"5759";"9";"24341";"1286";"1070";"674";"689";"638";"236";"1717";"136";"446";"0";"28";"173";"68";"91";"190";"166";"46";"27";"132";"92";"210";"64";"188";"261";"653";"581";"1798";"2134";"4311";"6150";"8";"0";"22";"0";"0";"0";"0";"0";"0";"0";"62";"54";"0";"48";"19";"32";"15";"100";"156";"432";"703";"2463";"2123";"4512";"18814";"601";"1562";"7083";"0";"0";"0";"275";"223"
"11216";"ZIP Codes";190;6595;"54316";"25117";"29199";"36";"2917";"3114";"5008";"4386";"3605";"2982";"1746";"931";"428";"2865";"3137";"5955";"4864";"4145";"3642";"2283";"1379";"929";"6920";"41543";"241";"1634";"23";"2088";"1867";"26038";"11123";"2043";"2643";"3910";"11";"47613";"49549";"45873";"37767";"851";"498";"7023";"7523";"25964";"8918";"6477";"3501";"2211";"2211";"2211";"2211";"82";"8";"6";"2";"2";"2.58";"2.71";"3.98";"1.05";"0.02";"0.17";"2.6";"466";"0";"11";"9";"51";"109";"44";"175";"505";"443";"596";"688";"1196";"1239";"1451";"8033";"1899";"1331";"5283";"2339";"7734";"3688";"422";"301";"12565";"24";"20018";"1318";"1318";"966";"994";"534";"524";"944";"32";"471";"65";"62";"220";"500";"146";"184";"183";"267";"117";"350";"387";"410";"754";"597";"586";"1239";"1566";"3591";"2508";"2769";"843";"0";"0";"0";"16";"0";"0";"0";"49";"33";"69";"19";"10";"23";"36";"0";"0";"13";"168";"34";"416";"488";"2450";"765";"376";"17118";"299";"1369";"3821";"0";"0";"14";"109";"50"
"11217";"ZIP Codes";123;4764;"35881";"16688";"19193";"37";"1810";"1404";"2899";"4295";"2507";"1711";"1213";"579";"270";"1783";"1260";"3749";"4837";"2617";"1989";"1635";"764";"559";"21302";"8201";"162";"2184";"13";"2321";"1698";"16803";"11797";"978";"1165";"2194";"8";"88028";"95916";"79789";"28693";"1633";"643";"3671";"3758";"17581";"6033";"5646";"2412";"1370";"1370";"1370";"1370";"70";"18";"7";"4";"2";"1.73";"1.87";"8.22";"0.72";"0";"0.08";"1.95";"513";"9";"34";"57";"67";"125";"64";"91";"285";"172";"461";"633";"598";"457";"559";"2645";"769";"575";"2301";"1118";"9340";"5965";"2029";"491";"5167";"14";"12693";"1015";"1242";"676";"564";"353";"373";"1284";"116";"227";"0";"39";"114";"520";"311";"240";"102";"149";"78";"192";"267";"256";"232";"136";"348";"402";"426";"853";"818";"2491";"3607";"0";"0";"4";"0";"0";"22";"0";"0";"13";"0";"55";"0";"0";"59";"11";"0";"0";"67";"119";"328";"349";"1044";"635";"2110";"10523";"309";"1710";"3668";"0";"9";"0";"152";"253"
